Term,Course Code,Section,CRN,Course Name,Time,Days,Location,Instructor
Fall,CS 300R,B2,10105,Data Structures-Recitation,5:40 pm - 7:30 pm,T,Fac.of Arts and Social Sci. G018,Cemal   Yılmaz
Fall,CS 301,0,10106,Algorithms,4:40 pm - 5:30 pm,W,Sabancı Business School G071,Esra   Erdem
Fall,CS 301,0,10106,Algorithms,2:40 pm - 4:30 pm,F,Fac. of Engin. and Nat. Sci. G077,Esra   Erdem
Fall,CS 301R,A1,10111,Algorithms-Recitation,6:40 pm - 7:30 pm,M,Fac.of Arts and Social Sci. G062,Esra   Erdem
Fall,CS 301R,A2,12541,Algorithms-Recitation,6:40 pm - 7:30 pm,M,Fac.of Arts and Social Sci. G018,Esra   Erdem
Fall,CS 302,0,10116,Formal Languages and Automata Theory,12:40 pm - 1:30 pm,M,Fac.of Arts and Social Sci. G018,Kemal   İnan
Fall,CS 302,0,10116,Formal Languages and Automata Theory,12:40 pm - 2:30 pm,R,Fac.of Arts and Social Sci. 1050,Kemal   İnan
Fall,CS 302R,0,10118,Formal Languages and Automata Theory Recitation,5:40 pm - 6:30 pm,W,Fac.of Arts and Social Sci. 1010,Kemal   İnan
Fall,CS 303,A,10119,Logic and Digital System Design,8:40 am - 9:30 am,M,Fac. of Engin. and Nat. Sci. G077,Özcan   Öztürk
Fall,CS 303,A,10119,Logic and Digital System Design,12:40 pm - 2:30 pm,R,Fac. of Engin. and Nat. Sci. G077,Özcan   Öztürk
Fall,CS 303,B,12542,Logic and Digital System Design,8:40 am - 9:30 am,W,University Center G030,Özcan   Öztürk
Fall,CS 303,B,12542,Logic and Digital System Design,3:40 pm - 5:30 pm,R,University Center G030,Özcan   Öztürk
Fall,CS 303L,A1,10123,Logic and Digital System Design - Lab.,1:40 pm - 3:30 pm,M,Fac. of Engin. and Nat. Sci. 1033,Özcan   Öztürk
Fall,CS 303L,A2,12545,Logic and Digital System Design - Lab.,1:40 pm - 3:30 pm,M,Fac. of Engin. and Nat. Sci. 2019,Özcan   Öztürk
Fall,CS 303L,B1,10129,Logic and Digital System Design - Lab.,12:40 pm - 2:30 pm,T,Fac. of Engin. and Nat. Sci. 1033,Özcan   Öztürk
Fall,CS 303L,B2,10130,Logic and Digital System Design - Lab.,12:40 pm - 2:30 pm,T,Fac.of Arts and Social Sci. G052,Özcan   Öztürk
Fall,CS 303L,C1,10122,Logic and Digital System Design - Lab.,10:40 am - 12:30 pm,W,Fac. of Engin. and Nat. Sci. 1033,Özcan   Öztürk
Fall,CS 303L,C2,12544,Logic and Digital System Design - Lab.,10:40 am - 12:30 pm,W,Fac.of Arts and Social Sci. 1102,Özcan   Öztürk
Fall,CS 303L,D1,10127,Logic and Digital System Design - Lab.,4:40 pm - 6:30 pm,W,Fac. of Engin. and Nat. Sci. 1033,Özcan   Öztürk
Fall,CS 303L,D2,12543,Logic and Digital System Design - Lab.,4:40 pm - 6:30 pm,W,Fac. of Engin. and Nat. Sci. 2019,Özcan   Öztürk
Fall,CS 303L,E1,10131,Logic and Digital System Design - Lab.,10:40 am - 12:30 pm,R,Fac. of Engin. and Nat. Sci. 1033,Özcan   Öztürk
Fall,CS 303L,E2,10133,Logic and Digital System Design - Lab.,10:40 am - 12:30 pm,R,Fac. of Engin. and Nat. Sci. 2019,Özcan   Öztürk
